Decimal Day of Year in 2022 (UTC), HRRR Air Temp (*C), HRRR Precip (mm), Incoming Shortwave (W/m^2), Surface Temp (*C), HRRR 4 cm Soil Temp (*C), HRRR 10 cm Soil Temp (*C), HRRR 100 cm Soil Temp (*C), HRRR 4 cm Soil Water (m^3 m^-3), HRRR 10 cm Soil Water (m^3 m^-3), HRRR 100 cm Soil Water (m^3 m^-3)
1.12500, 17.4272, 0.00100000, 0.00000, 16.9600, 16.9000, 16.8000, 13.1900, 0.213000, 0.223000, 0.230000
1.16667, 17.3711, 8.25700, 0.00000, 17.1400, 17.2200, 17.0800, 13.1900, 0.303000, 0.226000, 0.230000
1.20833, 17.2831, 0.0610000, 0.00000, 16.9400, 17.0400, 17.0300, 13.1900, 0.247000, 0.224000, 0.230000
1.25000, 16.5329, 0.00400000, 0.00000, 15.9100, 16.5400, 16.9100, 13.1900, 0.221000, 0.222000, 0.230000
1.29167, 16.7887, 3.43700, 0.00000, 16.7600, 16.9800, 17.1900, 13.2000, 0.260000, 0.224000, 0.230000
1.33333, 16.6222, 8.04600, 0.00000, 16.6900, 17.0000, 17.2800, 13.2000, 0.329000, 0.234000, 0.230000
1.37500, 16.8993, 4.31900, 0.00000, 16.9500, 17.0900, 17.2700, 13.2100, 0.322000, 0.251000, 0.230000
1.41667, 16.3748, 19.9050, 0.00000, 16.3600, 16.8400, 17.1300, 13.2100, 0.360000, 0.338000, 0.230000
1.45833, 16.4016, 7.01600, 0.00000, 16.3800, 16.8000, 17.0400, 13.2200, 0.345000, 0.339000, 0.230000
1.50000, 16.1563, 0.312000, 0.00000, 16.1600, 16.5200, 16.7800, 13.2300, 0.320000, 0.316000, 0.230000
1.54167, 15.8346, 1.42900, 0.00000, 15.7900, 16.0900, 16.4100, 13.2400, 0.342000, 0.338000, 0.230000
1.58333, 16.0236, 0.00700000, 31.3000, 16.0200, 16.0900, 16.4000, 13.2500, 0.335000, 0.333000, 0.230000
1.62500, 16.4834, 0.0270000, 164.000, 16.7000, 16.2100, 16.2900, 13.2700, 0.338000, 0.336000, 0.230000
1.66667, 16.3238, 3.53300, 29.5000, 16.4200, 16.2800, 16.1600, 13.2800, 0.347000, 0.342000, 0.230000
1.70833, 18.1023, 1.48600, 6.40000, 17.7900, 17.1400, 16.2700, 13.2900, 0.356000, 0.352000, 0.230000
1.75000, 17.0117, 2.04900, 88.0000, 17.0400, 16.2000, 15.9500, 13.3000, 0.368000, 0.358000, 0.230000
1.79167, 15.3531, 3.62500, 68.0000, 15.8600, 16.2800, 16.6200, 13.3100, 0.382000, 0.380000, 0.230000
1.83333, 15.4183, 0.431000, 177.100, 16.1500, 15.9100, 16.1100, 13.3200, 0.361000, 0.360000, 0.230000
1.87500, 14.4333, 0.336000, 41.4000, 14.6900, 15.1100, 15.5800, 13.3300, 0.346000, 0.346000, 0.230000
